Artist,Print title,Year,Medium,Dimensions,Publisher,Print ID -- for internal purposes only; this is used to link prints across each table; think of it as a catalogue raisonné number),Bio ID
Pennerton West,Morning Joys,,Etching,,,482,42
Pennerton West,On Such a Night,,Etching and aquatint,,,483,42
Pennerton West,Sulfa Worlds,,Soft ground etching in color,,,484,42
Pennerton West,The Fabulous,,Etching,,,485,42
Pennerton West,Myself,,,,,486,42
Pennerton West,Swannee,,,,,487,42
Pennerton West,Portfolio of 7 etchings,,,,,488,42
Pennerton West,Cock of the Walk,,,,,489,42
Perle Fine,Calm after Storm,,Etching,,,490,43
Perle Fine,Carousel,,Engraving,,,491,43
Perle Fine,Deep of the Night,,Engraving and aquatint,,,492,43
Perle Fine,"Deep of the Night, No. 1",,Etching and aquatint,,,493,43
Perle Fine,Descent,,Lithograph,,,494,43
Perle Fine,Lair,,Lithograph,,,495,43
Perle Fine,Omnipotent One,,Engraving,,,496,43
Perle Fine,Printed Collage #1,,Printed collage,,,497,43
Perle Fine,Printed Collage #3,,Printed collage,,,498,43
Perle Fine,Veiled Personage,,Engraving and aquatint,,,499,43
Perle Fine,Weathervane,,Engraving,,,500,43
Perle Fine,Wide to the Wind,,Woodcut in color,,,501,43
Perle Fine,With Abandon,,"Engraving, etching and aquatint",,,502,43
Ruth Cyril,Après Midi,,Unknown,,,503,44
Ruth Cyril,Au Clair de la Lune,,Unknown,,,504,44
Ruth Cyril,Au Desus de la Vie,,Color etching and engraving,,,505,44
Ruth Cyril,Between Wind and Water,,"Engraving, aquatint, and soft ground etching in color ",,,506,44
Ruth Cyril,Buried City,,Etching and engraving in color,,,507,44
Ruth Cyril,Catalyst,,Etching and engraving in color,,,508,44
Ruth Cyril,Cattails,,Unknown,,,509,44
Ruth Cyril,Coralline,,Unknown,,,510,44
Ruth Cyril,En Plein Mer,,Unknown,,,511,44
Ruth Cyril,Entropy,,Soft ground etching,,,512,44
Ruth Cyril,La Campagne Endormie,,Unknown,,,513,44
Ruth Cyril,La Forêt Aubergine,,Unknown,,,514,44
Ruth Cyril,La Forêt d'ensorcellement,,Unknown,,,515,44
Ruth Cyril,La Montagne Enchantée,,Unknown,,,516,44
Ruth Cyril,La Montagne Enchantée (color),,Unknown,,,517,44
Ruth Cyril,La Nue Perdue,,Unknown,,,518,44
Ruth Cyril,L'Allautique,,Unknown,,,519,44
Ruth Cyril,L'attraction du Soleil,,Unknown,,,520,44
Ruth Cyril,Le Sol Attendait,,Color etching,,,521,44
Ruth Cyril,L'esprit d'une Auge,,Unknown,,,522,44
Ruth Cyril,L'Univers,,,,,523,44
Ruth Cyril,Moontide,,Unknown,,,524,44
Ruth Cyril,Tailspin,,"Etching, engraving, and soldering",,,525,44
Ruth Leaf,Orchard Street,,Woodcut,,,526,45
Ruth Leaf,Pray for Us,,Engraving and aquatint,,,527,45
Ruth Leaf,Tears,,Aquatint and etching,,,528,45
Ruth Leaf,Twilight,,Engraving and aquatint,,,529,45
Ryah Ludins,Bombing,,Etching and soft ground etching,,,530,46
Ryah Ludins,Strafing,,,,,531,46
Sari Dienes,Composition,,Relief etching and engraving,,,532,47
Sari Dienes,Composition No. I,,Woodcut in color,,,533,47
Sari Dienes,Insight,,Soft ground ething,,,534,47
Sari Dienes,Two in One,,Color etching,,,535,47
Sherry Martinelli,Butterfly in Well,,Aquatint and etching,,,536,48
Sherry Martinelli,Mother Kite and Little Girl Kite,,Etching ,,,537,48
Sue Fuller,"""Bourgeons tendres"" (title unknown in English)",,,,,538,49
Sue Fuller,Ancient Parable,,Soft ground etching,,,539,49
Sue Fuller,Ball Player,,,,,540,49
Sue Fuller,Bat,,Soft ground etching and engraving,,,541,49
Sue Fuller,Bird,,,,,542,49
Sue Fuller,Bonnie Prince Charlie,,Soft ground etching in color,,,543,49
Sue Fuller,Cacophony,,Soft ground etching,,,544,49
Sue Fuller,Catch Me a Planet,,Engraving,,,545,49
Sue Fuller,Clown,,Engraving and aquatint,,,546,49
Sue Fuller,Cock,,Engraving in color,,,547,49
Sue Fuller,Concerto,,Soft ground etching,,,548,49
Sue Fuller,Emperor's Jewels,,Etching and engraving,,,549,49
Sue Fuller,Fancy Fowl,,Soft ground etching,,,550,49
Sue Fuller,Garden,,,,,551,49
Sue Fuller,Hen,,Engraving and soft ground etching,,,552,49
Sue Fuller,Interplanetary Travel,,Block print,,,553,49
Sue Fuller,Iquana,,,,,554,49
Sue Fuller,King,,Soft ground etching,,,555,49
Sue Fuller,Knight,,,,,556,49
Sue Fuller,Knights,,Soft ground etching and engraving,,,557,49
Sue Fuller,Lancelot and Guinevere,,Etching and soft ground etching,,,558,49
Sue Fuller,Little Girl Jumping Rope,,Soft ground etching in color,,,559,49
Sue Fuller,Marsh Bird,,Relief etching in three colors,,,560,49
Sue Fuller,Mosaic,,Soft ground etching,,,561,49
Sue Fuller,Mosaic I,,Soft ground etching,,,562,49
Sue Fuller,Mosaic IV,,Soft ground etching,,,563,49
Sue Fuller,Mosiac III,,Soft ground etching,,,564,49
Sue Fuller,"New York, New York!",,Color lithograph,,,565,49
Sue Fuller,Nightingale,,Color softground etching,,,566,49
Sue Fuller,Playing Ball,,Etching in six colors,,,567,49
Sue Fuller,Protozoa,,Etching in color,,,568,49
Sue Fuller,Rumor,,Soft ground etching,,,569,49
Sue Fuller,Sailor's Dream,,Etching,,,570,49
Sue Fuller,Snake,,Soft ground etching,,,571,49
Sue Fuller,Spirit of the Sea,,Soft ground etching and aquatint,,,572,49
Sue Fuller,Spring Bamboo,,Block print,,,573,49
Sue Fuller,Spririt of the Sea,,Etching and aquatint,,,574,49
Sue Fuller,Tension,,Soft ground etching,,,575,49
Sue Fuller,The Connoisseur,,Plaster,,,576,49
Sue Fuller,The Emperor's Jewels,,Plaster,,,577,49
Sue Fuller,The Heights,,Soft ground etching,,,578,49
Sue Fuller,The Knight,,Soft ground etching,,,579,49
Sue Fuller,The Sorceress,,,,,580,49
Sue Fuller,Tides of the City,,Soft ground etching,,,581,49
Sue Fuller,Trio,,Soft ground etching,,,582,49
Sue Fuller,Wayzata Leaves,,Etching in color,,,583,49
Sue Fuller,Woman with Bird,,,,,584,49
Sue Fuller,Xmas Card,,Soft ground etching and engraving,,,585,49
Sue Fuller,Young Bird,,Etching,,,586,49
Sue Fuller,Zebra,,Soft ground etching and aquatint,,,587,49
Teresa Fourpome,Branco e Negro,,Etching and engraving,,,588,50
Teresa Fourpome,Branco e preto,,Etching in relief,,,589,50
Terry Haass,Adromache,,Color woodcut,,,590,51
Terry Haass,Analysis,,Woodcut,,,591,51
Terry Haass,Animal Forms,,Engraving with wire,,,592,51
Terry Haass,Battle Against Death,,Engraving,,,593,51
Terry Haass,Breaking the Vicious Circle,,Engraving,,,594,51
Terry Haass,Chamber Music,,Woodcut,,,595,51
Terry Haass,Confidence,,Woodcut,,,596,51
Terry Haass,Conflict,,Engraving,,,597,51
Terry Haass,Construction,,Etching,,,598,51
Terry Haass,De Profundis,,Woodcut,,,599,51
Terry Haass,Dunes,,Woodcut,,,600,51
Terry Haass,Ferdinand,,Woodcut,,,601,51
Terry Haass,Fire Dance,,Engraving,,,602,51
Terry Haass,Fjörden,,Engraving,,,603,51
Terry Haass,Forge du Diable,,Engraving and etching,,,604,51
Terry Haass,Gare du Norde,,,,,605,51
Terry Haass,Göta Älv,,Engraving,,,606,51
Terry Haass,Hymn to the Sea,,Engraving,,,607,51
Terry Haass,Hymn to the Sun,,Engraving,,,608,51
Terry Haass,Last Snow,,Woodcut,,,609,51
Terry Haass,Lumière dans les Fenêtres,,Etching and engraving,,,610,51
Terry Haass,Man and Beasts ,,Engraving,,,611,51
Terry Haass,North Sun,,Etching,,,612,51
Terry Haass,Northland,,Etching,,,613,51
Terry Haass,Oil Well 120,,,,,614,51
Terry Haass,Olsofjörd,,Engraving,,,615,51
Terry Haass,Open Mind,,Engraving with wire,,,616,51
Terry Haass,Otztal,,Engraving,,,617,51
Terry Haass,Penelope,,,,,618,51
Terry Haass,Projection,,Engraving,,,619,51
Terry Haass,Projections,,Etching and engraving in color,,,620,51
Terry Haass,Reconstruction,,Engraving with wire,,,621,51
Terry Haass,Relations of Instruments,,Engraving,,,622,51
Terry Haass,Ruby,,Color block print,,,623,51
Terry Haass,Signal,,Engraving,,,624,51
Terry Haass,Train de Nuit,,Engraving,,,625,51
Terry Haass,Turning Point,,Engraving,,,626,51
Terry Haass,Tutegration,,Engraving,,,627,51
Vevean Oviette,Aspiration,,Lithograph in color,,,628,52
Vevean Oviette,Head--A Study,,Lithograph,,,629,52
Vevean Oviette,La Joie,,Woodcut,,,630,52
Vevean Oviette,Nue Assiese,,Engraving and etching,,,631,52
Vevean Oviette,Prehistorie,,Woodcut,,,632,52
Vevean Oviette,Still Life,,Lithograph,,,633,52
Vevean Oviette,The Window,,Lithograph,,,634,52
Virginia Dudley,East Side,,Aquatint,,,635,53
Virginia Dudley,In Spring,,Aquatint,,,636,53
Virginia Dudley,Sharecropper,,Aquatint,,,637,53
Vivean Oviette,Dancing Variations II,,Woodcut,,,638,54
Worden Day,Affirmations of Self,,Color woodcut,,,639,55
Worden Day,Arcana,,Intaglio and relief print,,,640,55
Worden Day,Arcana II,,Soft ground etching and etching in color,,,641,55
Worden Day,Arcana III,,Color woodcut,,,642,55
Worden Day,"Boundless, Still World",,Engraving,,,643,55
Worden Day,Burnt Ordinary,,Color woodcut,,,644,55
Worden Day,Delta Folk,,Etching,,,645,55
Worden Day,Drought Moon,,Etching,,,646,55
Worden Day,Incunabula,,Engraving,,,647,55
Worden Day,Mandala V,,Woodcut,,,648,55
Worden Day,Mandala II,,,,,649,55
Worden Day,Marginal Peripheries,,Woodcut in color,,,650,55
Worden Day,Marginal Periphery,,Woodcut in color,,,651,55
Worden Day,Medallion,,Color woodcut,,,652,55
Worden Day,Now Flowing IV,,Color woodcut,,,653,55
Worden Day,Nunc Fluens,,Woodcut in color,,,654,55
Worden Day,Ode to the Barbario,,Monotype,,,655,55
Worden Day,Primavera,,Engraving,,,656,55
Worden Day,Primeval World,,Color woodcut,,,657,55
Worden Day,Prismatic Presences,,Relief print,,,658,55
Worden Day,Runic Traces,,Color woodcut,,,659,55
Worden Day,Silographia,,,,,660,55
Worden Day,Strata Beneath the Sea,,Color woodcut,,,661,55
Worden Day,Strats,,Etching,,,662,55
Worden Day,Terra Incognita,,Engraving and woodcut,,,663,55
Worden Day,The Burning Bush,,Woodcut in color,,,664,55
Worden Day,The Glass Cabinet,,Etching,,,665,55
Worden Day,The Lone Hunter,,Serigraph,,,666,55
Worden Day,Tumuli,,Color woodcut,,,667,55
Harriet Berger Nurkse,Figures in a Garden,,Engraving and aquatint,,,668,17
Anne Wienholt,Owl and the Pussy Cat,,Etching and aquatint,,,669,6
Anne Wienholt,Man's Friend,,,,,670,6
Worden Day,Arcana IV,,Color woodcut,,,671,55
Anne Ryan,Peneacost,,,,,672,5
Terry Haass,Oslofjörd,,Engraving,,,673,51
Margaret Cilento,Sea Crab,,,,,674,35
Louise Bourgeois,Plate 6 from He Disappeared into Complete Silence,,,,,675,29
Louise Bourgeois,Plate 3 from He Disappeared into Complete Silence,,,,,676,29
Doris Seidler,Moon World I,,Aquatint,,,677,10
Doris Seidler,Luna Composition 2,,Engraving,,,678,10
Dorothy Dehner,Bird Machine II,,Etching,,,679,11
